"","GEOID","NAME","variable","estimate","moe","label","concept"
"1","19001","Adair County, Iowa","S1501_C02_015",20,2.9,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"2","19003","Adams County, Iowa","S1501_C02_015",24.5,3.3,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"3","19005","Allamakee County, Iowa","S1501_C02_015",19.9,2.3,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"4","19007","Appanoose County, Iowa","S1501_C02_015",19.3,2.6,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"5","19009","Audubon County, Iowa","S1501_C02_015",20.6,2.9,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"6","19011","Benton County, Iowa","S1501_C02_015",24.9,1.9,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"7","19013","Black Hawk County, Iowa","S1501_C02_015",30.1,1.2,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"8","19015","Boone County, Iowa","S1501_C02_015",28.7,2.4,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"9","19017","Bremer County, Iowa","S1501_C02_015",35.2,2.1,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"10","19019","Buchanan County, Iowa","S1501_C02_015",22.3,1.9,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"11","19021","Buena Vista County, Iowa","S1501_C02_015",22.1,2.4,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"12","19023","Butler County, Iowa","S1501_C02_015",20.4,1.7,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"13","19025","Calhoun County, Iowa","S1501_C02_015",21.5,2.4,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"14","19027","Carroll County, Iowa","S1501_C02_015",23.4,2.4,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"15","19029","Cass County, Iowa","S1501_C02_015",21.6,2.6,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"16","19031","Cedar County, Iowa","S1501_C02_015",21.5,2.4,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"17","19033","Cerro Gordo County, Iowa","S1501_C02_015",24.3,1.8,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"18","19035","Cherokee County, Iowa","S1501_C02_015",21.6,2.5,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"19","19037","Chickasaw County, Iowa","S1501_C02_015",19.1,2.6,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"20","19039","Clarke County, Iowa","S1501_C02_015",16,4.1,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"21","19041","Clay County, Iowa","S1501_C02_015",26,2.9,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"22","19043","Clayton County, Iowa","S1501_C02_015",15.7,1.6,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"23","19045","Clinton County, Iowa","S1501_C02_015",22.1,1.9,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"24","19047","Crawford County, Iowa","S1501_C02_015",18.3,2.5,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"25","19049","Dallas County, Iowa","S1501_C02_015",51.6,1.8,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"26","19051","Davis County, Iowa","S1501_C02_015",17.6,2.8,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"27","19053","Decatur County, Iowa","S1501_C02_015",24.3,3,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"28","19055","Delaware County, Iowa","S1501_C02_015",19.7,2.5,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"29","19057","Des Moines County, Iowa","S1501_C02_015",23.8,1.8,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"30","19059","Dickinson County, Iowa","S1501_C02_015",32.3,2.4,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"31","19061","Dubuque County, Iowa","S1501_C02_015",32.9,1.2,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"32","19063","Emmet County, Iowa","S1501_C02_015",15.7,2.7,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"33","19065","Fayette County, Iowa","S1501_C02_015",18.2,1.8,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"34","19067","Floyd County, Iowa","S1501_C02_015",18.5,2.9,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"35","19069","Franklin County, Iowa","S1501_C02_015",18.2,2.6,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"36","19071","Fremont County, Iowa","S1501_C02_015",21.1,2.9,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"37","19073","Greene County, Iowa","S1501_C02_015",19.8,3.1,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"38","19075","Grundy County, Iowa","S1501_C02_015",24.7,2.1,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"39","19077","Guthrie County, Iowa","S1501_C02_015",24.3,2.4,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"40","19079","Hamilton County, Iowa","S1501_C02_015",22,2.9,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"41","19081","Hancock County, Iowa","S1501_C02_015",21.4,2.8,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"42","19083","Hardin County, Iowa","S1501_C02_015",21.2,2.1,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"43","19085","Harrison County, Iowa","S1501_C02_015",21.2,2,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"44","19087","Henry County, Iowa","S1501_C02_015",22.5,2.5,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"45","19089","Howard County, Iowa","S1501_C02_015",18.7,3.4,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"46","19091","Humboldt County, Iowa","S1501_C02_015",19.3,2.5,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"47","19093","Ida County, Iowa","S1501_C02_015",20.7,2.7,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"48","19095","Iowa County, Iowa","S1501_C02_015",24.2,2.5,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"49","19097","Jackson County, Iowa","S1501_C02_015",18.4,2.3,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"50","19099","Jasper County, Iowa","S1501_C02_015",19.9,1.6,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"51","19101","Jefferson County, Iowa","S1501_C02_015",41.6,3,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"52","19103","Johnson County, Iowa","S1501_C02_015",54.6,1.3,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"53","19105","Jones County, Iowa","S1501_C02_015",20.7,2.2,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"54","19107","Keokuk County, Iowa","S1501_C02_015",15.9,2,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"55","19109","Kossuth County, Iowa","S1501_C02_015",22.2,2.4,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"56","19111","Lee County, Iowa","S1501_C02_015",21,2,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"57","19113","Linn County, Iowa","S1501_C02_015",34.8,1.1,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"58","19115","Louisa County, Iowa","S1501_C02_015",16.5,2.1,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"59","19117","Lucas County, Iowa","S1501_C02_015",14.5,2.4,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"60","19119","Lyon County, Iowa","S1501_C02_015",20.8,2.5,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"61","19121","Madison County, Iowa","S1501_C02_015",25.5,3,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"62","19123","Mahaska County, Iowa","S1501_C02_015",23,2.2,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"63","19125","Marion County, Iowa","S1501_C02_015",33.1,2.7,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"64","19127","Marshall County, Iowa","S1501_C02_015",21.4,1.8,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"65","19129","Mills County, Iowa","S1501_C02_015",32,3.1,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"66","19131","Mitchell County, Iowa","S1501_C02_015",22.7,2.8,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"67","19133","Monona County, Iowa","S1501_C02_015",18.7,2.4,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"68","19135","Monroe County, Iowa","S1501_C02_015",20,4.1,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"69","19137","Montgomery County, Iowa","S1501_C02_015",18.7,2.9,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"70","19139","Muscatine County, Iowa","S1501_C02_015",22.7,1.9,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"71","19141","O'Brien County, Iowa","S1501_C02_015",22.5,2.6,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"72","19143","Osceola County, Iowa","S1501_C02_015",15.4,2.8,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"73","19145","Page County, Iowa","S1501_C02_015",18.8,2.1,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"74","19147","Palo Alto County, Iowa","S1501_C02_015",20.5,2.5,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"75","19149","Plymouth County, Iowa","S1501_C02_015",23.9,2.1,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"76","19151","Pocahontas County, Iowa","S1501_C02_015",18.7,2.2,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"77","19153","Polk County, Iowa","S1501_C02_015",39.5,0.7,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"78","19155","Pottawattamie County, Iowa","S1501_C02_015",23.5,1.2,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"79","19157","Poweshiek County, Iowa","S1501_C02_015",28.2,2.7,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"80","19159","Ringgold County, Iowa","S1501_C02_015",25.2,3.2,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"81","19161","Sac County, Iowa","S1501_C02_015",21.2,2.1,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"82","19163","Scott County, Iowa","S1501_C02_015",36.2,1,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"83","19165","Shelby County, Iowa","S1501_C02_015",23.3,2.9,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"84","19167","Sioux County, Iowa","S1501_C02_015",30.4,2.1,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"85","19169","Story County, Iowa","S1501_C02_015",53.3,2,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"86","19171","Tama County, Iowa","S1501_C02_015",19.4,1.8,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"87","19173","Taylor County, Iowa","S1501_C02_015",15.5,2.2,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"88","19175","Union County, Iowa","S1501_C02_015",24.1,3,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"89","19177","Van Buren County, Iowa","S1501_C02_015",19.4,2.7,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"90","19179","Wapello County, Iowa","S1501_C02_015",19.4,2.2,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"91","19181","Warren County, Iowa","S1501_C02_015",32.7,2.1,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"92","19183","Washington County, Iowa","S1501_C02_015",24.9,2.5,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"93","19185","Wayne County, Iowa","S1501_C02_015",16,2.4,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"94","19187","Webster County, Iowa","S1501_C02_015",20.5,1.7,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"95","19189","Winnebago County, Iowa","S1501_C02_015",25.1,3,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"96","19191","Winneshiek County, Iowa","S1501_C02_015",31.5,2.1,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"97","19193","Woodbury County, Iowa","S1501_C02_015",23.4,1.2,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"98","19195","Worth County, Iowa","S1501_C02_015",20.1,2.4,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
"99","19197","Wright County, Iowa","S1501_C02_015",23.5,2.8,"Estimate!!Percent!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","Educational Attainment"
